iter	Logloss
0	0.6592877648
1	0.6281452538
2	0.6001543429
3	0.5757875141
4	0.5539197634
5	0.5353443893
6	0.51777864
7	0.5021688959
8	0.4882472141
9	0.4744644736
10	0.4625986653
11	0.4516466443
12	0.4430263653
13	0.4348141206
14	0.4266285114
15	0.4194587128
16	0.4125683088
17	0.4067011182
18	0.4020199817
19	0.3973560906
20	0.3933365432
21	0.3891818131
22	0.3854871787
23	0.3818220855
24	0.3790473791
25	0.3762199484
26	0.3743431076
27	0.3722033431
28	0.3707172722
29	0.3688223106
30	0.3669415122
31	0.3651702906
32	0.3636585604
33	0.362169372
34	0.3604128575
35	0.3594160709
36	0.3582837145
37	0.3567352703
38	0.3558176628
39	0.3549963577
40	0.3542398097
41	0.3533812803
42	0.3526175219
43	0.3517876643
44	0.3508682489
45	0.3497962358
46	0.3493904232
47	0.3485427957
48	0.3483525998
49	0.3474878831
50	0.3470594176
51	0.3465840198
52	0.346141157
53	0.3457090196
54	0.3449853809
55	0.3445724404
56	0.3439895017
57	0.3435705225
58	0.342939789
59	0.3424347245
60	0.3422089437
61	0.3419488376
62	0.3415754984
63	0.3412767627
64	0.3408240208
65	0.3403264628
66	0.3400096548
67	0.339617349
68	0.3392520695
69	0.3389539096
70	0.3385975538
71	0.3382148463
72	0.3380316362
73	0.3377548503
74	0.3375492525
75	0.3373212361
76	0.3371000743
77	0.3367637402
78	0.3365158896
79	0.3362422577
80	0.3359641141
81	0.3356402157
82	0.3354446887
83	0.3351816295
84	0.3349040611
85	0.3346933428
86	0.3345014943
87	0.3343233374
88	0.3340625823
89	0.333738946
90	0.3335210478
91	0.3332947447
92	0.3329840451
93	0.3327580528
94	0.3324397583
95	0.3322163143
96	0.3320301645
97	0.3318597796
98	0.3316796622
99	0.3315358898
100	0.3313997946
101	0.3312113096
102	0.331000401
103	0.330782409
104	0.3305827896
105	0.3304062973
106	0.3301126738
107	0.3299469954
108	0.3297976564
109	0.32953997
110	0.329394366
111	0.3291926934
112	0.3289947493
113	0.3288244156
114	0.3286417377
115	0.328501763
116	0.3283283661
117	0.3281055112
118	0.3279237518
119	0.327779324
120	0.3275721131
121	0.3274491276
122	0.3272764672
123	0.3271383813
124	0.326918322
125	0.3267566586
126	0.3265618205
127	0.3264661353
128	0.3263068157
129	0.3261295019
130	0.3259285641
131	0.3257196767
132	0.3255556573
133	0.3254032202
134	0.3251765363
135	0.325025661
136	0.3249401658
137	0.3247764285
138	0.3245570403
139	0.324418813
140	0.3243171734
141	0.3241690756
142	0.3241170933
143	0.3239117915
144	0.3237512821
145	0.3235542469
146	0.3233828522
147	0.3231999395
148	0.3230762292
149	0.3229467644
150	0.3227925226
151	0.3226275986
152	0.3224570199
153	0.3223169998
154	0.3221782654
155	0.3220542662
156	0.3219113248
157	0.3217312326
158	0.3215571209
159	0.3213953421
160	0.3212454497
161	0.321096962
162	0.3209671838
163	0.3208352452
164	0.3207149776
165	0.3205863922
166	0.3204813717
167	0.3203518588
168	0.3201333999
169	0.3200212196
170	0.3198759327
171	0.3197263863
172	0.3195901506
173	0.3194851115
174	0.3193411821
175	0.3191701511
176	0.3190423654
177	0.3189214018
178	0.3187850792
179	0.3186283175
180	0.3184887039
181	0.3183630212
182	0.31824975
183	0.3180822692
184	0.3179016179
185	0.3177416124
186	0.31755234
187	0.3174208702
188	0.3172994118
189	0.3171606079
190	0.3169504187
191	0.3168132245
192	0.3166532406
193	0.3165453403
194	0.3164288475
195	0.3163314249
196	0.3162035835
197	0.3160736015
198	0.3159170436
199	0.3157682817
200	0.3156789791
201	0.3155630341
202	0.3154440618
203	0.3152628466
204	0.3151267813
205	0.3150459873
206	0.3149095795
207	0.3147862987
208	0.3146074886
209	0.3144777724
210	0.3143393266
211	0.3142118244
212	0.3141353838
213	0.3140227311
214	0.3138725714
215	0.3137658252
216	0.3136214523
217	0.3135092277
218	0.3133538641
219	0.3132395054
220	0.3130884813
221	0.3129219243
222	0.3127642397
223	0.3126121821
224	0.3124471265
225	0.3122943834
226	0.3121299916
227	0.311948308
228	0.3118330507
229	0.3117301298
230	0.3115828483
231	0.3114425765
232	0.3112966945
233	0.3111760413
234	0.3110627785
235	0.3109357809
236	0.3107702591
237	0.3106384246
238	0.3105240381
239	0.3104129569
240	0.3102621269
241	0.3101340646
242	0.3099965736
243	0.3098875121
244	0.3097625052
245	0.3096438832
246	0.30952349
247	0.3093583029
248	0.3092337675
249	0.3090658031
250	0.3089519748
251	0.3088557567
252	0.3087498294
253	0.3085962299
254	0.3084786574
255	0.3083351305
256	0.3081930974
257	0.3080734355
258	0.3079160826
259	0.3077995854
260	0.3076727714
261	0.3075583178
262	0.3074711423
263	0.3073486606
264	0.3072005805
265	0.3070596443
266	0.3069500791
267	0.3068271965
268	0.3067143986
269	0.3066025099
270	0.306455706
271	0.3063475193
272	0.3061973884
273	0.3061148532
274	0.3060245909
275	0.3058343126
276	0.3057123459
277	0.3055849199
278	0.3054414138
279	0.3053142293
280	0.3051853709
281	0.3050409633
282	0.3048630648
283	0.304755315
284	0.3046132946
285	0.304491959
286	0.304336903
287	0.3042163738
288	0.3040764534
289	0.3039175226
290	0.3037834246
291	0.30366955
292	0.3035389338
293	0.3033707095
294	0.3032109468
295	0.3030435984
296	0.3028913447
297	0.3027452752
298	0.3025965875
299	0.3024649176
300	0.3022934472
301	0.3021702042
302	0.3020673352
303	0.3019584738
304	0.3018451198
305	0.3017500671
306	0.3016213931
307	0.3014521207
308	0.3013359062
309	0.3012045123
310	0.3010819182
311	0.3009323749
312	0.3007547759
313	0.3006539577
314	0.3005172067
315	0.3003910588
316	0.3002376925
317	0.3001333944
318	0.2999843582
319	0.2998733487
320	0.2997491254
321	0.2996017921
322	0.29944609
323	0.2992848198
324	0.2991814438
325	0.2990665067
326	0.2989135123
327	0.2988176681
328	0.2987152898
329	0.298588916
330	0.2984578708
331	0.2983146877
332	0.2981915307
333	0.2980728699
334	0.2979538145
335	0.2978367167
336	0.2976952373
337	0.2975954444
338	0.297460998
339	0.2973183868
340	0.297206377
341	0.2970789465
342	0.2969723556
343	0.2968251853
344	0.2966855094
345	0.2965551998
346	0.2964159977
347	0.2962869595
348	0.2961855457
349	0.2960691965
350	0.295932086
351	0.295858741
352	0.2957279002
353	0.2956015294
354	0.2954833329
355	0.295347149
356	0.295238759
357	0.2951049915
358	0.2949526144
359	0.2948376328
360	0.2946816873
361	0.2945795154
362	0.2944484881
363	0.294335094
364	0.2942143388
365	0.2940898204
366	0.2939575862
367	0.2938274291
368	0.2937143775
369	0.2935954065
370	0.2934739833
371	0.2933622566
372	0.2932401898
373	0.293136637
374	0.2930252781
375	0.2929004615
376	0.2927536986
377	0.2926393829
378	0.2925140667
379	0.2924075197
380	0.2922516686
381	0.2921417238
382	0.2920106065
383	0.2918714918
384	0.2917350629
385	0.2916480698
386	0.2915296772
387	0.2914203852
388	0.2912851671
389	0.2911430742
390	0.2910309793
391	0.2909350996
392	0.2907952921
393	0.2906871546
394	0.2905493055
395	0.2904228564
396	0.290323353
397	0.290212229
398	0.2901004086
399	0.2899650399
400	0.2898614725
401	0.289725167
402	0.289617932
403	0.2895019401
404	0.2893888137
405	0.2892731485
406	0.2891614947
407	0.2890747747
408	0.2889664798
409	0.2888479598
410	0.2887488387
411	0.2886144154
412	0.288497902
413	0.288368951
414	0.2882421046
415	0.2881346177
416	0.288032315
417	0.2879153312
418	0.2878009474
419	0.2876872956
420	0.287521696
421	0.2874042471
422	0.2873220612
423	0.2872105057
424	0.2870977578
425	0.2870041839
426	0.2869040677
427	0.2867706054
428	0.2866626117
429	0.28654476
430	0.2864172593
431	0.2863411194
432	0.2862322394
433	0.2861319733
434	0.2860177725
435	0.2859206157
436	0.2858239268
437	0.2857369562
438	0.285598191
439	0.2855198069
440	0.2853981814
441	0.2852746439
442	0.2851783538
443	0.2850604411
444	0.2849433703
445	0.2848161093
446	0.284711566
447	0.2846158483
448	0.2845039885
449	0.2843784244
450	0.2842629544
451	0.2841280308
452	0.2840218802
453	0.2839174301
454	0.2838054899
455	0.2836855295
456	0.2836075229
457	0.2835146189
458	0.283407985
459	0.2833082165
460	0.2831905996
461	0.2830905684
462	0.2829806577
463	0.2828735919
464	0.2827579741
465	0.2826558677
466	0.2825636717
467	0.2824630244
468	0.2823109866
469	0.2822027457
470	0.2821092503
471	0.2819897666
472	0.2818887259
473	0.2817769909
474	0.2816621951
475	0.2815412215
